id;address_id;address;address_2;district;postal_code;phone;last_update;city_id
1;70172;feed Human;Lilangeni Configuration Home;index experiences bypassing;Zambian;889.644.9132 x454;2021-12-08T23:06:34;1
2;49465;didactic Chips purple;bypass microchip;Table invoice;Berkshire Designer the;(481) 479-4318 x1225;2021-12-08T02:33:34;2
3;77423;Skyway Account;Toys contextually-based Sausages;National Soap;calculating Shoes;(901) 542-8762 x64518;2021-12-08T08:30:27;3
4;40467;bus;National;Taka JBOD state;blue invoice;945.661.5309 x9377;2021-12-08T08:17:38;4
5;62187;calculating calculate multi-tasking;Garden disintermediate Architect;benchmark;Account;692-862-2075 x1318;2021-12-08T14:41:26;5
6;23570;compelling generating;Soft;systematic Avon analyzer;regional Regional withdrawal;1-326-968-7030 x26819;2021-12-08T05:13:02;6
7;25910;Licensed;optimize Frozen Tasty;calculate;generation Grocery;773-605-7415;2021-12-08T09:09:10;7
8;21341;Shoes;digital;killer cyan;channels;544-701-9949;2021-12-08T16:55:09;8
9;56750;turquoise;hour sexy;auxiliary;deposit;1-875-478-0018 x0465;2021-12-08T06:59:34;9
10;78771;infomediaries open-source Hawaii;bypassing Russian;Toys blue;Landing Tunnel District;1-756-651-9629;2021-12-08T22:46:20;10
